Idx,Category,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
22,Frontier Math (AIME),0,0,0,1,STABLE,1,0.14107,74.67,0,0.0
23,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.8282599999999998,971.81,0,0.0
24,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,1.09137,641.92,0,0.0
25,Frontier Math (AIME),0,0,0,1,STABLE,1,0.00643,17.29,0,0.0
26,Frontier Math (AIME),0,0,0,1,STABLE,14,0.37898999999999994,299.45,0,0.0
27,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,1.4696399999999998,801.08,0,0.0
28,Frontier Math (AIME),1,1,1,1,STABLE,1,0.0992,50.47,0,0.0
29,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,0.7211,441.95,0,0.0
30,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,0.9308799999999999,495.46,0,0.0
31,Frontier Math (AIME),0,0,0,1,STABLE,1,0.08631,36.14,0,0.0
32,Frontier Math (AIME),1,1,1,1,STABLE,1,0.13283999999999999,66.58,0,0.0
33,Frontier Math (AIME),0,0,0,0,STABLE,1,0.12542999999999999,51.45,0,0.0
34,Frontier Math (AIME),0,0,0,1,STABLE,1,0.018529999999999998,25.77,0,0.0
35,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,0.5195799999999999,356.62,0,0.0
36,Frontier Math (AIME),0,0,0,1,STABLE,1,0.15401,75.94,0,0.0
37,Frontier Math (AIME),1,1,1,1,STABLE,1,0.19465,89.19,0,0.0
38,Frontier Math (AIME),1,1,1,1,STABLE,1,0.13028,58.03,0,0.0
39,Frontier Math (AIME),0,0,0,1,STABLE,1,0.14107999999999998,72.1,0,0.0
