Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.200585,71894,333.99,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.171552,64792,322.65,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,10,8,0.1,0.2,0.190274,70518,236.53,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,7,0.15,0.2,0.354511,131031,539.61,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.261149,91665,328.13,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.196513,71245,326.79,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,1,0.15,0.2,0.331233,126611,458.19,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,14,-8,0.14,0.2,0.428207,164655,580.88,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-5,0.15,0.2,0.373684,136891,617.56,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.425596,156363,524.21,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,0.32623,119059,496.79,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,12,-8,0.12,0.2,0.396047,148558,491.55,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,10,8,0.1,0.2,0.214328,84692,393.73,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.368391,133374,478.39,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,3,0.15,0.2,0.465745,164721,660.16,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.160981,59764,360.32,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.230211,84773,356.1,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,5,0.15,0.2,0.343483,125426,548.24,0,0.0
