Category,FM_Acc,Tokens_In,Tokens_Out,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,4623,1562,6185,0.06216500,15.97,0,claude-opus-4-6,1
Frontier Math (AIME),1,5111,1323,6434,0.05863000,20.79,0,claude-opus-4-6,1
Frontier Math (AIME),1,4588,901,5489,0.04546500,13.82,0,claude-opus-4-6,1
Frontier Math (AIME),0,4667,1496,6163,0.06073500,21.95,0,claude-opus-4-6,1
Frontier Math (AIME),0,4597,8000,12597,0.22298500,698.95,0,claude-opus-4-6,1
Frontier Math (AIME),0,5078,1320,6398,0.05839000,19.14,0,claude-opus-4-6,1
Frontier Math (AIME),1,4700,1289,5989,0.05572500,20.38,0,claude-opus-4-6,1
Frontier Math (AIME),0,4682,1162,5844,0.05246000,22.42,0,claude-opus-4-6,1
Frontier Math (AIME),0,5000,1590,6590,0.06475000,21.27,0,claude-opus-4-6,1
Frontier Math (AIME),1,4659,1221,5880,0.05382000,19.89,0,claude-opus-4-6,1
Frontier Math (AIME),0,4738,1981,6719,0.07321500,26.73,0,claude-opus-4-6,1
Frontier Math (AIME),1,4680,1071,5751,0.05017500,14.64,0,claude-opus-4-6,1
Frontier Math (AIME),0,4717,1307,6024,0.05626000,14.95,0,claude-opus-4-6,1
Frontier Math (AIME),1,4645,846,5491,0.04437500,17.20,0,claude-opus-4-6,1
Frontier Math (AIME),1,5059,1419,6478,0.06077000,22.12,0,claude-opus-4-6,1
Frontier Math (AIME),1,4654,799,5453,0.04324500,10.34,0,claude-opus-4-6,1
Frontier Math (AIME),1,4608,1527,6135,0.06121500,20.37,0,claude-opus-4-6,1
Frontier Math (AIME),1,4689,937,5626,0.04687000,13.73,0,claude-opus-4-6,1
Frontier Math (AIME),1,4643,1255,5898,0.05459000,19.86,0,claude-opus-4-6,1
Frontier Math (AIME),1,4629,1091,5720,0.05042000,15.67,0,claude-opus-4-6,1
Frontier Math (AIME),1,4717,683,5400,0.04066000,10.75,0,claude-opus-4-6,1
Frontier Math (AIME),1,4632,3771,8403,0.11743500,49.77,0,claude-opus-4-6,1
Frontier Math (AIME),1,4956,1021,5977,0.05030500,18.43,0,claude-opus-4-6,1
Frontier Math (AIME),1,4586,920,5506,0.04593000,11.98,0,claude-opus-4-6,1
Frontier Math (AIME),0,4653,1256,5909,0.05466500,20.38,0,claude-opus-4-6,1
Frontier Math (AIME),1,4622,1207,5829,0.05328500,16.90,0,claude-opus-4-6,1
Frontier Math (AIME),1,4661,656,5317,0.03970500,9.62,0,claude-opus-4-6,1
